ds,yhat,yhat_lower,yhat_upper
1985-01-01,20.649520548924645,16.52734817743362,24.67978904407895
1986-01-01,20.479832306862995,16.66012388649806,24.481178956071556
1987-01-01,20.239198326504066,16.38712442443504,24.665150650532148
1988-01-01,19.927759930695068,15.894599114077582,24.22964526084984
1989-01-01,20.121517756746453,15.860024167893739,24.031285810449248
1990-01-01,19.951829506042333,15.551914945896362,24.068453956932967
1991-01-01,19.711195519715865,15.2973042854328,23.748733074033673
1992-01-01,19.399757120168573,15.363126086307732,23.57657333173054
1993-01-01,19.593514946989853,15.223426047338224,23.754297961388357
1994-01-01,19.423826700080422,15.38829507150037,23.471711224404793
1995-01-01,19.183192719338493,14.945593964063606,23.263807334155054
1996-01-01,18.87175527294455,14.957342512098954,23.122357907709958
1997-01-01,19.065832039199897,14.841967793289317,23.267217952728444
1998-01-01,18.89710829002281,14.860190992362398,23.139873872863156
1999-01-01,18.65743880417595,14.349745128741896,22.65946583493779
2000-01-01,18.347173289010723,14.24013873586082,22.38267717642711
2001-01-01,18.542488807763313,13.963022718655331,22.815974665414494
2002-01-01,18.37486025445131,14.212208589039298,22.727739396663598
2003-01-01,18.136857042898193,13.681378225753145,22.43788052650119
2004-01-01,17.828049419885375,13.754313912798738,22.102818207751582
2005-01-01,18.02493675372317,13.985593349763896,22.114971349304877
2006-01-01,17.85875998638585,13.604520228783466,22.131914867994745
2007-01-01,17.621898292721568,13.54864239019689,21.921908963868514
2008-01-01,17.314355415945162,13.328816854954939,21.531130429799507
2009-01-01,17.51201943368472,13.560092426833315,21.764367481114544
2010-01-01,17.346654809063786,13.193200999007644,21.614538699738038
2011-01-01,17.110606639342716,12.878747541504957,21.20400740254047
2012-01-01,16.80408674357473,12.218885358209263,20.929217444409883
2013-01-01,17.002807344678278,12.967985483747375,21.296262440390603
2014-01-01,16.838068312557184,12.503201948508238,20.97913594080593
2015-01-01,16.602383560173912,12.369655519137211,20.788788739421374
2016-01-01,16.295894400929555,12.515630860414703,20.51431703799184
2017-01-01,16.494615426796557,12.238319743883997,20.953670658519474
2018-01-01,16.32987681827924,11.880582423728992,20.348843072183577
2019-01-01,16.09419247309153,12.174506318156396,20.572639111658322
2020-01-01,15.787703716442941,11.456712232541033,20.226041470640254
2021-01-01,15.986424742310316,11.749479235223598,19.911076289965205
2022-01-01,15.821686133792277,11.68565198278252,19.91276034489757
2023-01-01,15.58600178860476,11.189003725447513,19.73560523730312
2024-01-01,15.279513031958453,11.199710473719065,19.77506781383959
2024-12-31,14.902477307407779,10.978413825520285,19.19148137605227
2025-12-31,14.455267774459722,10.254299300214386,18.56017624836795
2026-12-31,13.938372715599755,10.031922084915534,18.029747377214576
2027-12-31,13.352394753742887,9.190398272323783,17.759779821098746
2028-12-31,14.39428662292105,10.583145496164256,18.627638273173766
2029-12-31,13.947077089970021,9.700745939308431,18.202635696794857
2030-12-31,13.430182031112844,9.129075372939464,17.487319056458713
2031-12-31,12.84420406924836,8.669936264172279,17.118027973256883
2032-12-31,13.88609593843104,9.655888358155693,18.31664199542633
2033-12-31,13.438886405486524,9.719544235216839,17.562250676563
